dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
MNIST,0,Baseline A - Full RF,0.9704,0.03963732719421387,100.0,1.0,0.0,0.0,0.03963732719421387,,
MNIST,0,Baseline B - Fixed Cascade,0.9704,0.36659884452819824,44.068,0.10812180067077386,0.0,0.55932,0.03963732719421387,,
MNIST,0,Cascade RF (Two-Stage),0.9704,0.16506004333496094,49.57,0.24013883913611203,0.0,0.5043,0.03963732719421387,0.9,
MNIST,0,LazyRF,0.9697,0.5625073909759521,17.378,0.07046543357491353,0.0007000000000000339,0.82622,0.03963732719421387,0.95,
MNIST,0,Baseline C - QuickScorer,0.9704,116.05004811286926,100.0,0.00034155373340011844,0.0,0.0,0.03963732719421387,,
MNIST,0,Baseline D - Full BranchyNet,0.9741,0.0019545555114746094,3.0,1.0,0.0,0.0,0.0019545555114746094,,
MNIST,0,Baseline D - Early Exit BranchyNet,0.9742,0.059250593185424805,1.1214,0.03298794841357665,-9.999999999998899e-05,0.6262000000000001,0.0019545555114746094,,
MNIST,0,Full GBM,0.9458,0.17523622512817383,100.0,1.0,0.0,0.0,0.17523622512817383,,
MNIST,0,LazyGBM,0.9418,2.3062400817871094,81.0,0.07598351382063527,0.0040000000000000036,0.18999999999999995,0.17523622512817383,,3.0
Covertype,0,Baseline A - Full RF,0.927175,0.0626072883605957,100.0,1.0,0.0,0.0,0.0626072883605957,,
Covertype,0,Baseline B - Fixed Cascade,0.927275,1.1548223495483398,44.39175,0.05421378308540869,-9.999999999998899e-05,0.5560825,0.0626072883605957,,
Covertype,0,Cascade RF (Two-Stage),0.927275,0.0676419734954834,50.47,0.925568624410051,-9.999999999998899e-05,0.49529999999999996,0.0626072883605957,0.9,
Covertype,0,LazyRF,0.926875,1.6906588077545166,18.837,0.03703129695562221,0.00029999999999996696,0.81163,0.0626072883605957,0.95,
Covertype,0,Baseline C - QuickScorer,0.927175,288.9465389251709,100.0,0.0002166742975828108,0.0,0.0,0.0626072883605957,,
Covertype,0,Baseline D - Full BranchyNet,0.848375,0.0016794204711914062,3.0,1.0,0.0,0.0,0.0016794204711914062,,
Covertype,0,Baseline D - Early Exit BranchyNet,0.84325,0.0022745132446289062,2.084825,0.7383647798742138,0.005124999999999935,0.3050583333333333,0.0016794204711914062,,
Covertype,0,Full GBM,0.774925,0.2351832389831543,100.0,1.0,0.0,0.0,0.2351832389831543,,
Covertype,0,LazyGBM,0.769975,0.8675713539123535,80.99935,0.27108230109556347,0.00495000000000001,0.19000649999999997,0.2351832389831543,,3.0
Higgs,0,Baseline A - Full RF,0.7224,0.0661158561706543,100.0,1.0,0.0,0.0,0.0661158561706543,,
Higgs,0,Baseline B - Fixed Cascade,0.7224,2.0644724369049072,81.5375,0.032025545601265734,0.0,0.18462500000000004,0.0661158561706543,,
Higgs,0,Cascade RF (Two-Stage),0.7224,0.0827798843383789,90.0125,0.7986947154986693,0.0,0.09987499999999994,0.0661158561706543,0.9,
Higgs,0,LazyRF,0.721775,1.0348403453826904,39.33225,0.06388990965191277,0.0006249999999999867,0.6066775,0.0661158561706543,0.95,
Higgs,0,Baseline C - QuickScorer,0.7224,284.9912123680115,100.0,0.0002319926134609314,0.0,0.0,0.0661158561706543,,
Higgs,0,Baseline D - Full BranchyNet,0.7321,0.0018396377563476562,3.0,1.0,0.0,0.0,0.0018396377563476562,,
Higgs,0,Baseline D - Early Exit BranchyNet,0.73185,0.002249479293823242,2.497125,0.8178060413354531,0.00024999999999997247,0.16762500000000002,0.0018396377563476562,,
Higgs,0,Full GBM,0.712925,0.04520392417907715,100.0,1.0,0.0,0.0,0.04520392417907715,,
Higgs,0,LazyGBM,0.712925,0.1580054759979248,75.86255,0.2860908705447072,0.0,0.24137450000000005,0.04520392417907715,,3.0
Credit Card,0,Baseline A - Full RF,0.99945,0.026673078536987305,100.0,1.0,0.0,0.0,0.026673078536987305,,
Credit Card,0,Baseline B - Fixed Cascade,0.99945,0.21153712272644043,10.11475,0.12609171474588363,0.0,0.8988525,0.026673078536987305,,
Credit Card,0,Cascade RF (Two-Stage),0.99945,0.04539895057678223,10.14,0.5875263238051225,0.0,0.8986,0.026673078536987305,0.9,
Credit Card,0,LazyRF,0.99945,0.2018437385559082,10.02575,0.13214716853651218,0.0,0.8997425,0.026673078536987305,0.95,
Credit Card,0,Baseline C - QuickScorer,0.99945,273.8554880619049,100.0,9.739837140294179e-05,0.0,0.0,0.026673078536987305,,
Credit Card,0,Baseline D - Full BranchyNet,0.999125,0.0016238689422607422,3.0,1.0,0.0,0.0,0.0016238689422607422,,
Credit Card,0,Baseline D - Early Exit BranchyNet,0.999125,0.002064943313598633,1.002,0.7863987992148712,0.0,0.6659999999999999,0.0016238689422607422,,
Credit Card,0,Full GBM,0.99905,0.017450809478759766,100.0,1.0,0.0,0.0,0.017450809478759766,,
Credit Card,0,LazyGBM,0.99905,0.06919527053833008,10.000925,0.25219656405697627,0.0,0.89999075,0.017450809478759766,,3.0
MNIST,1,Baseline A - Full RF,0.9694,0.03904104232788086,100.0,1.0,0.0,0.0,0.03904104232788086,,
MNIST,1,Baseline B - Fixed Cascade,0.9694,0.3688623905181885,44.867,0.10584175381240381,0.0,0.5513300000000001,0.03904104232788086,,
