dataset,run,method,accuracy,inference_time,avg_work_units,speedup,accuracy_drop,energy_reduction,worst_case_latency,lazy_rf_threshold,lazy_gbm_threshold
MNIST,7,LazyRF[t=0.990],0.9706,0.5910537242889404,22.09,0.06702422169056887,-9.999999999998899e-05,0.7791,0.03961491584777832,0.99,
MNIST,7,LazyGBM[s=2.00],0.9419,2.277312994003296,81.0,0.07100944822321957,0.0040000000000000036,0.18999999999999995,0.1617107391357422,,2.0
MNIST,7,LazyGBM[s=4.00],0.9419,2.295574903488159,81.0,0.07044454915847895,0.0040000000000000036,0.18999999999999995,0.1617107391357422,,4.0
Covertype,7,LazyRF[t=0.900],0.9273,1.5729424953460693,16.36025,0.038133967643915426,0.0009749999999999481,0.8363975,0.0599825382232666,0.9,
Covertype,7,LazyRF[t=0.970],0.92825,1.8361408710479736,21.36775,0.03266772128928849,2.4999999999941735e-05,0.7863225,0.0599825382232666,0.97,
Covertype,7,LazyRF[t=0.990],0.9283,2.083087682723999,25.5825,0.02879501363323747,-2.5000000000052758e-05,0.744175,0.0599825382232666,0.99,
Covertype,7,LazyGBM[s=2.00],0.76845,0.8362667560577393,80.997875,0.28274266106010537,0.004674999999999985,0.19002125000000003,0.2364482879638672,,2.0
Covertype,7,LazyGBM[s=4.00],0.76845,0.8673720359802246,80.9994,0.2726030793656553,0.004674999999999985,0.190006,0.2364482879638672,,4.0
Higgs,7,LazyRF[t=0.900],0.721575,0.8555357456207275,32.9355,0.07139077081365754,0.0016500000000000403,0.670645,0.06107735633850098,0.9,
Higgs,7,LazyRF[t=0.970],0.7228,1.2337629795074463,48.153,0.049504935188511505,0.0004250000000000087,0.51847,0.06107735633850098,0.97,
Higgs,7,LazyRF[t=0.990],0.723125,1.4242055416107178,56.3695,0.04288521182793953,9.999999999998899e-05,0.43630499999999994,0.06107735633850098,0.99,
Higgs,7,LazyGBM[s=2.00],0.714175,0.14591741561889648,73.794175,0.3079170356621167,0.0,0.26205825000000005,0.044930458068847656,,2.0
Higgs,7,LazyGBM[s=4.00],0.714175,0.15574359893798828,83.405425,0.2884899178857258,0.0,0.16594575000000011,0.044930458068847656,,4.0
Credit Card,7,LazyRF[t=0.900],0.9995,0.19138145446777344,10.0205,0.14212071079042046,4.999999999999449e-05,0.899795,0.027199268341064453,0.9,
Credit Card,7,LazyRF[t=0.970],0.9995,0.189591646194458,10.03425,0.1434623776258952,4.999999999999449e-05,0.8996575,0.027199268341064453,0.97,
Credit Card,7,LazyRF[t=0.990],0.99955,0.19571900367736816,10.04375,0.1389710136982964,0.0,0.8995625,0.027199268341064453,0.99,
Credit Card,7,LazyGBM[s=2.00],0.998275,0.06624698638916016,11.993325,0.2601274022889225,0.0,0.88006675,0.017232656478881836,,2.0
Credit Card,7,LazyGBM[s=4.00],0.998275,0.07074618339538574,11.99455,0.24358425644775908,0.0,0.8800545,0.017232656478881836,,4.0
MNIST,8,LazyRF[t=0.900],0.9689,0.5351498126983643,15.466,0.07405168269712699,9.999999999998899e-05,0.84534,0.03962874412536621,0.9,
MNIST,8,LazyRF[t=0.970],0.9691,0.5692687034606934,18.867,0.06961342488082604,-9.999999999998899e-05,0.81133,0.03962874412536621,0.97,
MNIST,8,LazyRF[t=0.990],0.969,0.589484453201294,22.155,0.06722610564223651,0.0,0.77845,0.03962874412536621,0.99,
MNIST,8,LazyGBM[s=2.00],0.9418,2.223073720932007,81.0,0.06965538343203478,0.0040000000000000036,0.18999999999999995,0.15484905242919922,,2.0
MNIST,8,LazyGBM[s=4.00],0.9418,2.2386345863342285,81.0,0.06917120524022861,0.0040000000000000036,0.18999999999999995,0.15484905242919922,,4.0
Covertype,8,LazyRF[t=0.900],0.9275,1.5693881511688232,16.43525,0.03823385402274002,-7.499999999993623e-05,0.8356475,0.06000375747680664,0.9,
Covertype,8,LazyRF[t=0.970],0.927425,1.8296864032745361,21.4145,0.032794558329459995,0.0,0.785855,0.06000375747680664,0.97,
Covertype,8,LazyRF[t=0.990],0.927525,2.0859854221343994,25.587,0.02876518543231728,-9.999999999998899e-05,0.74413,0.06000375747680664,0.99,
Covertype,8,LazyGBM[s=2.00],0.767925,0.8502771854400635,80.99905,0.2806822492983666,0.0043000000000000815,0.19000950000000005,0.23865771293640137,,2.0
Covertype,8,LazyGBM[s=4.00],0.767925,0.8699591159820557,80.99995,0.2743321019942322,0.0043000000000000815,0.19000050000000002,0.23865771293640137,,4.0
Higgs,8,LazyRF[t=0.900],0.71955,0.8804194927215576,32.94775,0.06861125335691831,0.003574999999999995,0.6705225,0.06040668487548828,0.9,
Higgs,8,LazyRF[t=0.970],0.722625,1.2375679016113281,48.369,0.048810804479364776,0.000500000000000056,0.51631,0.06040668487548828,0.97,
Higgs,8,LazyRF[t=0.990],0.72295,1.4333226680755615,56.61725,0.04214451234249494,0.00017500000000003624,0.43382750000000003,0.06040668487548828,0.99,
Higgs,8,LazyGBM[s=2.00],0.713,0.1421341896057129,68.80105,0.30823579142302154,0.0,0.3119894999999999,0.04381084442138672,,2.0
Higgs,8,LazyGBM[s=4.00],0.713,0.15573668479919434,78.7149,0.28131358053419514,0.0,0.212851,0.04381084442138672,,4.0
Credit Card,8,LazyRF[t=0.900],0.999475,0.20337748527526855,10.01775,0.13277305407683462,0.0,0.8998225,0.027003049850463867,0.9,
Credit Card,8,LazyRF[t=0.970],0.999475,0.18993425369262695,10.03225,0.14217051071874193,0.0,0.8996775,0.027003049850463867,0.97,
Credit Card,8,LazyRF[t=0.990],0.999475,0.19460129737854004,10.04125,0.13876089324285085,0.0,0.8995875,0.027003049850463867,0.99,
Credit Card,8,LazyGBM[s=2.00],0.999225,0.1118476390838623,73.916125,0.15479735591731805,0.0,0.26083875,0.017313718795776367,,2.0
Credit Card,8,LazyGBM[s=4.00],0.999225,0.11625146865844727,73.917025,0.1489333338802364,0.0,0.2608297500000001,0.017313718795776367,,4.0
